Sun Feb 17 20:14:21 +0000 2019,@imagineameera it was superior,@imagineameera it was superior
Sun Feb 17 20:13:13 +0000 2019,@gracefullyagb @betteroffdeluxe I DONT LIKE YOURS EITHER EMILY HOW DOES IT FEEL,@gracefullyagb @betteroffdeluxe I DONT LIKE YOURS EITHER EMILY HOW DOES IT FEEL
Sun Feb 17 20:12:25 +0000 2019,@betteroffdeluxe leave me alone i beg,@betteroffdeluxe leave me alone i beg
Sun Feb 17 20:01:32 +0000 2019,ur such a dream to me,ur such a dream to me
Sun Feb 17 19:23:11 +0000 2019,cant wait to sing them for / with u imy https://t.co/azt2DyjoTe,cant wait to sing them for / with u imy 
Sun Feb 17 19:21:41 +0000 2019,"r.e.m., gws and god is a woman 🌪🌫 https://t.co/pSf7otMH61","r.e.m., gws and god is a woman  "
Sun Feb 17 19:11:26 +0000 2019,sorry had to tell u imma nice guy https://t.co/350V46VqST,sorry had to tell u imma nice guy 
Sun Feb 17 19:11:08 +0000 2019,happy six months to our fourth child. what’s your top three off ɹǝuǝʇǝǝʍs? 🌫🦢🌑 https://t.co/3tvxJEYSTV,happy six months to our fourth child. what’s your top three off ɹǝuǝʇǝǝʍs? 🦢 
Sun Feb 17 02:37:49 +0000 2019,🦢 https://t.co/t6qW73hPGx,🦢 
Sun Feb 17 01:20:21 +0000 2019,🌑🌫🖤 https://t.co/ADhYrXHIj0, 
Sat Feb 16 22:59:32 +0000 2019,@weIIsoon @arianacuIture yes,@weIIsoon @arianacuIture yes
Sat Feb 16 22:58:15 +0000 2019,@arianacuIture good i have to go back now love u bye,@arianacuIture good i have to go back now love u bye
Sat Feb 16 22:56:59 +0000 2019,@arianaswhip @emoblackthot I HAVE TONER,@arianaswhip @emoblackthot I HAVE TONER
Sat Feb 16 21:22:13 +0000 2019,@slowslumbers @emoblackthot and the burt’s bees wipes. am i all the way wrong ? i’m so sorry pls help me.,@slowslumbers @emoblackthot and the burt’s bees wipes. am i all the way wrong ? i’m so sorry pls help me.
Sat Feb 16 21:21:12 +0000 2019,@slowslumbers @emoblackthot I USE NEUTROGENA WIPES AND COCONUT OIL IF MY LASH GLUE IS BEING ANNOYING PLS DONT,@slowslumbers @emoblackthot I USE NEUTROGENA WIPES AND COCONUT OIL IF MY LASH GLUE IS BEING ANNOYING PLS DONT
Sat Feb 16 21:18:15 +0000 2019,@greedyjauregui @emoblackthot IT WONT HAPPEN AGAIN,@greedyjauregui @emoblackthot IT WONT HAPPEN AGAIN
Sat Feb 16 21:17:39 +0000 2019,@emoblackthot still exfoliated and did a la mer mask LEAVE ME ALONE SIS,@emoblackthot still exfoliated and did a la mer mask LEAVE ME ALONE SIS
Sat Feb 16 20:58:13 +0000 2019,@FrankieJGrande beyond.,@FrankieJGrande beyond.
Sat Feb 16 20:57:33 +0000 2019,"man, i love u @FrankieJGrande. happy. twenty. months. been staring at this drafting n deleting bc everything i write makes me cry. jus know i think you’re a superhero and u make me v proud. everyone knows how hard this is and how strong you’ve been. congratulations and thank god.","man, i love u @FrankieJGrande. happy. twenty. months. been staring at this drafting n deleting bc everything i write makes me cry. jus know i think you’re a superhero and u make me v proud. everyone knows how hard this is and how strong you’ve been. congratulations and thank god."
Sat Feb 16 18:48:36 +0000 2019,"alright i must go now 
be in touch soon
xx,
miso","alright i must go now 
be in touch soon
xx,
miso"
Sat Feb 16 18:45:11 +0000 2019,okay okay done deal. love u. 🌑 and all ya ideas. imma keep a list. 🌫✉️ https://t.co/DIGBNIOo5w,okay okay done deal. love u.  and all ya ideas. imma keep a list.  
Sat Feb 16 18:43:20 +0000 2019,wow spring awakening i miss her so much https://t.co/P9YLXijYXu,wow spring awakening i miss her so much 
Sat Feb 16 18:41:15 +0000 2019,‘i would like to see it’ https://t.co/bLivPvWA5u,‘i would like to see it’ 
Sat Feb 16 18:39:49 +0000 2019,hmmmmm .... something from the album or something from wicked ... or something from cinderella .... the whitney brandy one duh https://t.co/OB3ingngQY,hmmmmm .... something from the album or something from wicked ... or something from cinderella .... the whitney brandy one duh 
Sat Feb 16 18:37:20 +0000 2019,🌫 alright https://t.co/G2R35d6ADg, alright 
Sat Feb 16 18:34:53 +0000 2019,mmk ! https://t.co/fSIpI71vbS,mmk ! 
Sat Feb 16 18:34:10 +0000 2019,i do 🌫 i would do something like that again if i weren’t afraid of y’all hating me if i missed one by accident https://t.co/FBdI4ZsJ3l,i do  i would do something like that again if i weren’t afraid of y’all hating me if i missed one by accident 
Sat Feb 16 18:33:13 +0000 2019,🌫 #thankunext #sweetenertour 🌑 https://t.co/5VKs8Mcc0E, #thankunext #sweetenertour  
Sat Feb 16 18:30:10 +0000 2019,rehearsal ! 🌑 https://t.co/LgRBbWdXYp,rehearsal !  
Sat Feb 16 18:28:42 +0000 2019,emphasis on pacing https://t.co/l3kdhIwyQc,emphasis on pacing 
Sat Feb 16 18:27:26 +0000 2019,i’m the lucky one https://t.co/q6fg4sG2CA,i’m the lucky one 
Sat Feb 16 18:25:49 +0000 2019,on the treadmill talking to y’all 🌫 we love a few miles of pacing n talking to ya babies in the morning https://t.co/eGthJuAUBf,on the treadmill talking to y’all  we love a few miles of pacing n talking to ya babies in the morning 
Sat Feb 16 18:22:20 +0000 2019,duhh @alfredoflores https://t.co/8tpg9hQZRh,duhh @alfredoflores 
Sat Feb 16 18:21:08 +0000 2019,similar but w many surprises and a few more songs 🌑🌫🌪 https://t.co/YhVJ9tmSvK,similar but w many surprises and a few more songs  
Sat Feb 16 18:19:17 +0000 2019,miso for sure. but also it might depend on the time of year. i think i am miso year round and then butternut squash in the fall. thanks for circling back to this. https://t.co/QwGJkqM7Td,miso for sure. but also it might depend on the time of year. i think i am miso year round and then butternut squash in the fall. thanks for circling back to this. 
Sat Feb 16 18:18:19 +0000 2019,if u would like them to be. i loved them last time but maybe the option is better. whatever u want ! https://t.co/DU66RaSZ29,if u would like them to be. i loved them last time but maybe the option is better. whatever u want ! 
Sat Feb 16 18:17:25 +0000 2019,wait shh i said no more set list questions ask anything else,wait shh i said no more set list questions ask anything else
Sat Feb 16 18:17:01 +0000 2019,two https://t.co/jNJxLqdx12,two 
Sat Feb 16 18:16:33 +0000 2019,duh https://t.co/Q2vHvip3Iq,duh 
Sat Feb 16 18:15:53 +0000 2019,had to https://t.co/CEknnwNtGT,had to 
Sat Feb 16 18:15:45 +0000 2019,fuck. i dunno yet because we’re still moseying along ! can we come back to this in a week or so ? i really like bad idea. what the twins did with it made me so excited. https://t.co/CGN1ozHnkB,fuck. i dunno yet because we’re still moseying along ! can we come back to this in a week or so ? i really like bad idea. what the twins did with it made me so excited. 
Sat Feb 16 18:13:33 +0000 2019,scott https://t.co/zWG61lY3oZ,scott 
Sat Feb 16 18:13:04 +0000 2019,but but imy https://t.co/ytT2G56LN6,but but imy 
Sat Feb 16 18:12:31 +0000 2019,🙈 https://t.co/VQNDvuRZQd, 
Sat Feb 16 18:11:56 +0000 2019,yes last one 🌫 doing as much of the two new albums as possible https://t.co/vCXvYdq163,yes last one  doing as much of the two new albums as possible 
Sat Feb 16 18:11:20 +0000 2019,love u 🌑 no more set list questions i don’t wanna spoil too much https://t.co/ht5mU2NZN2,love u  no more set list questions i don’t wanna spoil too much 
Sat Feb 16 18:09:50 +0000 2019,of course ! https://t.co/FJPjcj3Ynu,of course ! 
Sat Feb 16 18:07:04 +0000 2019,@notearsingrid so good 🌫 i’ve missed it sm,@notearsingrid so good  i’ve missed it sm
Sat Feb 16 18:05:34 +0000 2019,@TAYLAPARX @ me (jk),@TAYLAPARX @ me (jk)
Sat Feb 16 18:04:42 +0000 2019,@greediegrande it’s my favorite stage i’ve eva had for sure 🌑,@greediegrande it’s my favorite stage i’ve eva had for sure 
Sat Feb 16 17:59:09 +0000 2019,@jusneedspace @successfvI me toooo. my baby baby.,@jusneedspace @successfvI me toooo. my baby baby.
Sat Feb 16 17:57:28 +0000 2019,@dusktiI @successfvI i love uuuu,@dusktiI @successfvI i love uuuu
Sat Feb 16 17:55:54 +0000 2019,@successfvI yea imy more,@successfvI yea imy more
Sat Feb 16 17:52:15 +0000 2019,@securedbieber truly,@securedbieber truly
Sat Feb 16 17:50:54 +0000 2019,@nasasgrande @arixsolana @emoblackthot dr. lancer &amp; la mer 🖤 also coconut oil tho sometimes issa good natural make up remover,@nasasgrande @arixsolana @emoblackthot dr. lancer &amp; la mer  also coconut oil tho sometimes issa good natural make up remover
Sat Feb 16 17:24:50 +0000 2019,@arixsolana @emoblackthot omg i left my eye makeup but do u see dat skin? don’t come for me i exfoliated and moisturized pls,@arixsolana @emoblackthot omg i left my eye makeup but do u see dat skin? don’t come for me i exfoliated and moisturized pls
Sat Feb 16 09:05:05 +0000 2019,@youbenasa @perfectlytroye bro i was deadass,@youbenasa @perfectlytroye bro i was deadass
Sat Feb 16 09:04:39 +0000 2019,@surprisiana doesn’t mean it’s easy on your chords or sustainable 🖤,@surprisiana doesn’t mean it’s easy on your chords or sustainable 
Sat Feb 16 04:32:02 +0000 2019,"talk to u later 
xx,
miso","talk to u later 
xx,
miso"
Sat Feb 16 04:31:36 +0000 2019,honestly .... u don’t need this quiz .... u know u already know what soup u are,honestly .... u don’t need this quiz .... u know u already know what soup u are
Sat Feb 16 04:28:43 +0000 2019,omg this exists https://t.co/35vn9THl7k,omg this exists 
Sat Feb 16 04:25:47 +0000 2019,why is this something people are so sure of and passionate about ? why aren’t more people talking ab this ?,why is this something people are so sure of and passionate about ? why aren’t more people talking ab this ?
Sat Feb 16 04:25:22 +0000 2019,i asked our waitress if she were a soup what soup she’d be and before i could finish asking she said ‘tempura udon’,i asked our waitress if she were a soup what soup she’d be and before i could finish asking she said ‘tempura udon’
Sat Feb 16 04:24:00 +0000 2019,what’s really wild is how immediately everyone knows exactly what soup they’d be,what’s really wild is how immediately everyone knows exactly what soup they’d be
Sat Feb 16 04:23:22 +0000 2019,mom is ‘cream of mushroom w a cognac drizzle’ which is fucking wild,mom is ‘cream of mushroom w a cognac drizzle’ which is fucking wild
Sat Feb 16 04:22:33 +0000 2019,roshad is tomato basil,roshad is tomato basil
Sat Feb 16 04:22:25 +0000 2019,i’m for sure either butternut squash or miso,i’m for sure either butternut squash or miso
Sat Feb 16 04:21:12 +0000 2019,fredo says he’s ‘spicy vegan ramen’,fredo says he’s ‘spicy vegan ramen’
Sat Feb 16 04:20:32 +0000 2019,guys we’re at dinner discussing what soups we’d be if we were soups and everyone knows what soup they’d be immediately and each answer is so different and specific so now i ask u.... if u were a soup .... with which soup do u identify ?,guys we’re at dinner discussing what soups we’d be if we were soups and everyone knows what soup they’d be immediately and each answer is so different and specific so now i ask u.... if u were a soup .... with which soup do u identify ?
Fri Feb 15 21:56:09 +0000 2019,thank u sm https://t.co/NxbikgUflA,thank u sm 
Fri Feb 15 21:24:25 +0000 2019,@awkmen @LizGillies where is this video,@awkmen @LizGillies where is this video
Fri Feb 15 21:24:16 +0000 2019,we’ve been rehearsing for like eleven years https://t.co/iPmmtwsrio,we’ve been rehearsing for like eleven years 
Fri Feb 15 21:23:59 +0000 2019,no https://t.co/iPmmtwsrio,no 
Fri Feb 15 21:18:44 +0000 2019,tea https://t.co/Wm8ZUWXf1j,tea 
Fri Feb 15 21:17:06 +0000 2019,fuck we have so much work to do i forgot @MattBennett @LizGillies https://t.co/ESR2DAWsaz,fuck we have so much work to do i forgot @MattBennett @LizGillies 
Fri Feb 15 21:13:03 +0000 2019,can @LizGillies come home and can we get a piano bar to ourselves so we can sing thru all of next to normal together pls and play all the roles by ourselves i miss u so much,can @LizGillies come home and can we get a piano bar to ourselves so we can sing thru all of next to normal together pls and play all the roles by ourselves i miss u so much
Fri Feb 15 20:22:44 +0000 2019,honored n grateful. thank u UK babes. i love u n cant wait to see u. #thankunext https://t.co/0LYZT0vW7P,honored n grateful. thank u UK babes. i love u n cant wait to see u. #thankunext 
Fri Feb 15 19:40:20 +0000 2019,! https://t.co/TUt47h1kam,! 
Fri Feb 15 18:57:25 +0000 2019,i love u. thank u for everything. https://t.co/KcV1wNR7Z4,i love u. thank u for everything. 
Fri Feb 15 18:55:57 +0000 2019,mamaaa https://t.co/zC804wu3io,mamaaa 
Fri Feb 15 04:43:49 +0000 2019,@kahrazyinlove 🖤,@kahrazyinlove 
Fri Feb 15 00:54:35 +0000 2019,i- @taylaparx @VictoriaMonet @tbhits https://t.co/JlqRCRNWXH,i- @taylaparx @VictoriaMonet @tbhits 
Fri Feb 15 00:29:01 +0000 2019,at rehearsal ... love u the most n thinking of u all 🌫 https://t.co/fBq4MRRHvh,at rehearsal ... love u the most n thinking of u all  
Fri Feb 15 00:29:01 +0000 2019,at rehearsal ... love u the most n thinking of u all 🌫 https://t.co/fBq4MRRHvh,at rehearsal ... love u the most n thinking of u all  
Thu Feb 14 23:53:02 +0000 2019,this is so insane and surreal to me. thank u so much. 🌫🌑 #thankunext https://t.co/T4UBaXjGjf,this is so insane and surreal to me. thank u so much.  #thankunext 
Thu Feb 14 04:14:21 +0000 2019,a bunch,a bunch
Thu Feb 14 04:14:04 +0000 2019,valentine’s day treats at midnight 🖤 https://t.co/fBvTUjrT9w #thankunext https://t.co/Bsf4SWSxeH,valentine’s day treats at midnight   #thankunext 
Thu Feb 14 00:40:16 +0000 2019,the most 🌫✉️ i love u https://t.co/S2oiCWcOaY,the most  i love u 
Thu Feb 14 00:39:59 +0000 2019,word https://t.co/coQbxtRQXM,word 
Thu Feb 14 00:37:07 +0000 2019,r u ok https://t.co/8rB29YnFuh,r u ok 
Thu Feb 14 00:35:35 +0000 2019,k https://t.co/0jXmOb7HeO,k 
Thu Feb 14 00:34:28 +0000 2019,sm fun. we luh u and can’t wait to see u all. it’s sick. https://t.co/PWmmV1lQSi,sm fun. we luh u and can’t wait to see u all. it’s sick. 
Thu Feb 14 00:31:52 +0000 2019,stop it rn https://t.co/4CZgeP0wiA,stop it rn 
Thu Feb 14 00:31:23 +0000 2019,this is a wild time for us lmao 🌪 do ur thing but also like how is this our problem rn ...... what the fuck 🌫🖤🖖🏼 #thankunext https://t.co/LvLEqj47e3,this is a wild time for us lmao  do ur thing but also like how is this our problem rn ...... what the fuck  #thankunext 
Thu Feb 14 00:26:32 +0000 2019,ur all sick https://t.co/SHSecPgmzw,ur all sick 
Thu Feb 14 00:25:39 +0000 2019,"y’all are so insane and funny and i love u. nothings funnier than ‘boycott seven rings’..... i can’t lmao. whatever’s meant to be will be, babies 🌫 i ain’t goin nowhere #thankunext https://t.co/g7kdn4E1PD","y’all are so insane and funny and i love u. nothings funnier than ‘boycott seven rings’..... i can’t lmao. whatever’s meant to be will be, babies  i ain’t goin nowhere #thankunext "
Thu Feb 14 00:23:40 +0000 2019,@nasaleon13 @Savan_Kotecha i’m..... rehearsing for tour ..... r u ok,@nasaleon13 @Savan_Kotecha i’m..... rehearsing for tour ..... r u ok
Thu Feb 14 00:20:55 +0000 2019,🌫 https://t.co/TuITnhezEH, 
Wed Feb 13 20:54:17 +0000 2019,love u divas https://t.co/XAdkAnOyS8,love u divas 
Wed Feb 13 20:05:35 +0000 2019,some new stuff 🌫✉️ https://t.co/fBvTUjrT9w #thankunext https://t.co/Dsr33jRgxh,some new stuff   #thankunext 
